Country: IESE EMBA BCN 26-1,,,,,,
Workers Balance,Company:Company 3,,,,,
Period: 6,Course: IESE EMBA BCN 26-1,,,,,
             Workers Balance        ,,,,,,
,Center,West,North,East,South,Total
Workers assigned,219,71,0,0,0,290
FTE offset of reduction of working hours,0.00,0.00,0.00,0.00,0.00,0.00
FTE offset of off-days available for workers,0.00,0.00,0.00,0.00,0.00,0.00
Absenteeism,0.00,0.00,0.00,0.00,0.00,0.00
FTE union representatives,,,,,,0.00
Total,219.00,71.00,0.00,0.00,0.00,290.00
 ,,,,,,
,,,,,,0.00
,,,,,,
             % of Workforce Working Saturdays (Overtime) [%]        ,,,,,,
,Center,West,North,East,South,Total
Total,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,
